FID,Count,Area,X,Y,Perimeter,NEAR_FID,NEAR_DIST,ST_NAME,ST_TYPE,MUN_L,SPEEDLIMIT,NBHD_L,STREET_ID,OBJECTID,SITE_NAME,OWNERSHIP,DISTRICT,ACRES,TypeLong,OS_Own_Jur,ALT_NAME
0,1,19.018517148699999,-71.132299575499999,42.231851895600002,36.391847016299998,-1,-1.000000000000000, , , ,0, ,0,0, , , ,0.000000000000000, , , 
1,1,19.018100452599999,-71.132340257500005,42.231863134400001,36.391149252500000,-1,-1.000000000000000, , , ,0, ,0,0, , , ,0.000000000000000, , , 
2,1,19.019497413200000,-71.132339535400007,42.231893797100000,36.391790837199999,-1,-1.000000000000000, , , ,0, ,0,0, , , ,0.000000000000000, , , 
3,1,18.431069608600001,-71.132249351300004,42.232076028900003,35.957739784099999,-1,-1.000000000000000, , , ,0, ,0,0, , , ,0.000000000000000, , , 
4,1,16.330307369400000,-71.132233595599999,42.232099234899998,37.001035820399998,-1,-1.000000000000000, , , ,0, ,0,0, , , ,0.000000000000000, , , 
5,1,29.879322110099999,-71.130193402800003,42.232141494099999,29.736127920300000,5088,86.239173011999995,Meadowview,RD,Boston,15,Hyde Park,2706,0, , , ,0.000000000000000, , , 
6,1,46.687626843399997,-71.132096446500000,42.232828046000002,37.916330066000000,1763,95.480368857399995,Clifford,ST,Boston,15,Hyde Park,918,0, , , ,0.000000000000000, , , 
7,1,15.197631475500000,-71.137708317399998,42.234095055300003,27.697895946999999,14324,61.466979157200001,Lakeside,AVE,Boston,15,Hyde Park,2338,574,Sprague Pond Shoreline,Private,Hyde Park,1.070000000000000,"Parks, Playgrounds & Athletic Fields",NULL, 
8,1,15.108949696600000,-71.137659869199993,42.234171885199999,26.217155990599998,14324,71.157029582899995,Lakeside,AVE,Boston,15,Hyde Park,2338,574,Sprague Pond Shoreline,Private,Hyde Park,1.070000000000000,"Parks, Playgrounds & Athletic Fields",NULL, 
9,1,35.056750419399997,-71.137902459800003,42.234238541800003,32.466165683100002,14324,27.272594544499999,Lakeside,AVE,Boston,15,Hyde Park,2338,574,Sprague Pond Shoreline,Private,Hyde Park,1.070000000000000,"Parks, Playgrounds & Athletic Fields",NULL, 
10,1,37.266817935500001,-71.131347907999995,42.234353147800000,59.028847897799999,6030,33.469652087800000,Parkson,ST,Boston,20,Hyde Park,3153,145,Camp Meigs,Commonwealth of Massachusetts,Hyde Park,2.865839490000000,"Parks, Playgrounds & Athletic Fields",DCR, 
11,1,35.746483798200003,-71.131135914300003,42.234428427600001,57.454296577900003,1761,40.858393515899998,Clifford,ST,Boston,20,Hyde Park,918,145,Camp Meigs,Commonwealth of Massachusetts,Hyde Park,2.865839490000000,"Parks, Playgrounds & Athletic Fields",DCR, 
