id,Name,Address,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Longitude,Latitude
0,BPL Adams St,690 Adams St,12:00–20:00,10:00–18:00,12:00–20:00,10:00–18:00,09:00–17:00,09:00–17:00,closed,-71.05440456,42.28626514
1,BPL Brighton,40 Academy Hill Rd,12:00–20:00,10:00–18:00,10:00–18:00,12:00–20:00,09:00–17:00,09:00–17:00,closed,-71.15290594,42.34767683
2,BPL Central,700 Boylston St,09:00–21:00,09:00–21:00,09:00–21:00,09:00–21:00,09:00–17:00,09:00–17:00,closed,-71.0788687,42.34942647
3,BPL Charlestown,179 Main St,12:00–20:00,10:00–18:00,10:00–18:00,12:00–20:00,09:00–17:00,09:00–14:00,closed,-71.06443778,42.37580776
4,BPL Codman Square,690 Washington St,12:00–20:00,10:00–18:00,10:00–18:00,12:00–20:00,09:00–17:00,09:00–17:00,closed,-71.07096746,42.28751054
5,BPL Connolly,433 Centre St,12:00–20:00,10:00–18:00,10:00–18:00,10:00–18:00,09:00–17:00,09:00–14:00,closed,-71.11109806,42.3206371
6,BPL Dudley,65 Warren St,12:00–20:00,10:00–18:00,10:00–18:00,12:00–20:00,09:00–17:00,09:00–17:00,closed,-71.08351513,42.32800913
7,BPL East Boston,365 Bremen St,12:00–20:00,10:00–18:00,10:00–18:00,12:00–20:00,09:00–17:00,09:00–17:00,closed,-71.02857666,42.37775766
8,BPL Egleston Square,2044 Columbus Av,10:00–18:00,10:00–18:00,12:00–20:00,10:00–18:00,09:00–17:00,09:00–14:00,closed,-71.09563159,42.31404812
9,BPL Faneuil,419 Faneuil St,10:00–18:00,12:00–20:00,10:00–18:00,10:00–18:00,09:00–17:00,09:00–14:00,closed,-71.16787749,42.35131398
10,BPL Fields Corner,1520 Dorchester Av,10:00–18:00,12:00–20:00,10:00–18:00,10:00–18:00,09:00–17:00,09:00–14:00,closed,-71.06030592,42.2988768
11,BPL Grove Hall,41 Geneva Ave,10:00–18:00,10:00–18:00,10:00–18:00,12:00–20:00,09:00–17:00,09:00–17:00,closed,-71.08119317,42.30797906
12,BPL Honan-Allston,300 North Harvard St,12:00–20:00,10:00–18:00,12:00–20:00,10:00–18:00,09:00–17:00,09:00–17:00,closed,-71.12810639,42.36010429
13,BPL Hyde Park,35 Harvard Av,12:00–20:00,10:00–18:00,10:00–18:00,12:00–20:00,09:00–17:00,09:00–17:00,closed,-71.1221352,42.25709536
14,BPL Jamaica Plain,12 Sedgwick St,10:00–18:00,10:00–18:00,10:00–18:00,12:00–20:00,09:00–17:00,09:00–17:00,closed,-71.11487789,42.30862508
15,BPL Lower Mills,27 Richmond St,12:00–20:00,10:00–18:00,10:00–18:00,12:00–20:00,09:00–17:00,09:00–14:00,closed,-71.06850833,42.2735428
16,BPL Mattapan,1350 Blue Hill Av,10:00–18:00,12:00–20:00,10:00–18:00,12:00–20:00,09:00–17:00,09:00–17:00,closed,-71.09313924,42.27751531
17,BPL North End,25 Parmenter St,10:00–18:00,10:00–18:00,12:00–20:00,10:00–18:00,09:00–17:00,09:00–14:00,closed,-71.05502432,42.36407119
18,BPL Parker Hill,1497 Tremont St,closed,closed,closed,closed,closed,closed,closed,-71.09907886,42.3324527
19,BPL Roslindale,4246 Washington St,10:00–18:00,10:00–18:00,10:00–18:00,12:00–20:00,09:00–17:00,09:00–14:00,closed,-71.12865396,42.28563883
20,BPL South Boston,646 East BRdway,12:00–20:00,10:00–18:00,10:00–18:00,12:00–20:00,09:00–17:00,09:00–17:00,closed,-71.03871801,42.33582737
21,BPL South End,685 Tremont St,10:00–18:00,12:00–20:00,10:00–18:00,10:00–18:00,09:00–17:00,09:00–14:00,closed,-71.07703141,42.34132346
22,BPL Uphams Corner,500 Columbia Rd,10:00–18:00,10:00–18:00,10:00–18:00,12:00–20:00,09:00–17:00,09:00–14:00,closed,-71.0675342,42.31484503
23,BPL Washington Village,1226 Columbia Rd,closed,closed,closed,closed,closed,closed,closed,-71.05045377,42.33040619
24,BPL West End,151 Cambridge St,10:00–18:00,10:00–18:00,10:00–18:00,12:00–20:00,09:00–17:00,09:00–14:00,closed,-71.06500582,42.36143801
25,BPL West Roxbury,1961 Centre St,12:00–20:00,10:00–18:00,10:00–18:00,12:00–20:00,09:00–17:00,09:00–17:00,closed,-71.15744949,42.28338709
26,City Toilet,1 City Hall Plaza,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,-71.05710742,42.35974202
27,City Toilet,197 Eighth St,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,-71.05768327,42.37095117
28,City Toilet,35 Commercial St,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,-71.05604508,42.36837972
29,City Toilet,206 Atlantic Av,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,00:00-23:59,-71.05082275,42.35923568
